alpha,beta,max_n,tex,q,n,value
3.0,11.0,4209801.30646837,0.0,4.999942157396377,2551527.0,308108059.30997455
3.0,12.0,3985803.9326904207,0.0,4.999922422751407,2551527.0,302687053.3274645
3.0,13.0,4011397.3303879946,0.0,5.000021787855141,2551527.0,297266047.34550387
3.0,14.0,4266573.235393418,0.0,5.000000107021388,2551527.0,291845041.3632042
3.0,15.0,2760472140.6253695,0.0,4.9999849145997635,2551527.0,286424035.3808576
3.0,16.0,4488292.0231631575,0.0,5.0000059589285,2551527.0,281003029.3985391
3.0,17.0,4341926.06603437,0.0069935684846722055,4.9979790468905705,2490547.1986316135,275733918.0695264
3.0,18.0,5616346752583.616,0.015358431822325602,5.000027269388978,2419592.0205049934,270906840.74000585
3.0,19.0,216464223.13948214,0.023213428454390377,4.99999730805227,2354899.2235390106,266473688.19528392
3.0,20.0,3504346.275610603,0.030612569658771845,5.000044394210224,2295652.184385642,262385012.55298468
3.0,21.0,3462857.7924557887,0.03760179479736044,4.9999914173071005,2241173.5383608504,258599432.71479923
3.0,22.0,3529326.2570643686,0.04422056279484617,5.000001310356032,2190895.761405503,255082035.20450658
3.0,23.0,4111385939.0549374,0.05050291061613775,5.000007185920619,2144340.209400987,251803144.03277496
3.0,24.0,2015748797.1492753,0.05647854562016237,4.999973676007324,2101099.0412502377,248737363.40640184
3.0,25.0,3167348.014649856,0.06217365581700171,5.000002566483497,2060821.690753244,245862824.73857945
3.0,26.0,1548256246.7424965,0.06761114287631002,5.000014990793021,2023207.1444026981,243160588.51251093
3.0,27.0,1763791838.5561812,0.07281134329008336,5.000027702887735,1987993.9904014848,240614164.84230745
3.0,28.0,2691618.163854404,0.07779250327190379,5.00000726388438,1954953.3528433435,238209125.95808876
3.0,29.0,1807537451.6182451,0.08257042101940627,5.000027997008568,1923888.057579242,235932790.56344992
3.0,30.0,33182652.44235315,0.08715983429862426,4.999941272242638,1894620.9010342248,233773964.88619906
3.0,31.0,4576438.901056972,0.09157379092786973,5.000038598868719,1866996.7552869543,231722728.81659114
3.0,32.0,175836536.9135741,0.09582376940060677,4.999996415786707,1840879.8890272335,229770258.17734322
3.0,33.0,2033262739.0411108,0.0999206931334709,4.999963521874315,1816146.2406029745,227908676.15967104
3.0,34.0,697130658670.1952,0.1038741252993049,5.000016255246261,1792687.19561478,226130928.45705995
3.0,35.0,1394066179.6988592,0.10769289093451569,4.999953970226377,1770404.7345781126,224430677.77497342
3.0,36.0,2485924734.440663,0.11138506907854023,5.000032330680879,1749210.6479809487,222802214.28063092
3.0,37.0,1755683.4794896145,0.11495787271482046,4.99997161607034,1729026.4587230938,221240379.23325333
3.0,38.0,2485891325.0142155,0.11841824285835527,4.99993294329693,1709779.4151111767,219740499.57622716
3.0,39.0,1713746.0866279716,0.12177233520460119,4.9999595935481755,1691404.8698554696,218298331.68800968
3.0,40.0,1462006721.643354,0.12502579566983218,4.999988467888955,1673844.224278029,216910012.819699
3.0,41.0,1834196255.5026233,0.12818399385970344,5.000064923977658,1657043.2757605466,215572019.01866853
