"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/03/2024","AQS","020900034","1","8.8","ppb","11","NCORE","23","96.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"03/04/2024","AQS","020900034","1","9.8","ppb","13","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"03/05/2024","AQS","020900034","1","5.8","ppb","7","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"03/06/2024","AQS","020900034","1","4.5","ppb","6","NCORE","23","96.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"03/07/2024","AQS","020900034","1","4.2","ppb","6","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"03/08/2024","AQS","020900034","1","3.6","ppb","4","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"03/09/2024","AQS","020900034","1","2.1","ppb","3","NCORE","23","96.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"03/10/2024","AQS","020900034","1","1.2","ppb","1","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"03/11/2024","AQS","020900034","1","3.1","ppb","4","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"03/12/2024","AQS","020900034","1","4.8","ppb","6","NCORE","23","96.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"03/13/2024","AQS","020900034","1","5.3","ppb","7","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"03/14/2024","AQS","020900034","1","1.9","ppb","1","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"03/15/2024","AQS","020900034","1","3.8","ppb","4","NCORE","23","96.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"03/16/2024","AQS","020900034","1","7.3","ppb","10","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"03/17/2024","AQS","020900034","1","5.3","ppb","7","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"03/18/2024","AQS","020900034","1","5.2","ppb","7","NCORE","20","83.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"03/19/2024","AQS","020900034","1","5.4","ppb","7","NCORE","19","79.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"03/20/2024","AQS","020900034","1","6.5","ppb","9","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"03/21/2024","AQS","020900034","1","5.8","ppb","7","NCORE","23","96.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"03/22/2024","AQS","020900034","1","4.8","ppb","6","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"03/23/2024","AQS","020900034","1","3.4","ppb","4","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"03/24/2024","AQS","020900034","1","4.5","ppb","6","NCORE","23","96.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"03/25/2024","AQS","020900034","1","4.8","ppb","6","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"03/26/2024","AQS","020900034","1","4.2","ppb","6","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"03/27/2024","AQS","020900034","1","4.7","ppb","6","NCORE","23","96.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"03/28/2024","AQS","020900034","1","2.3","ppb","3","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"03/29/2024","AQS","020900034","1","2.2","ppb","3","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"03/30/2024","AQS","020900034","1","3.1","ppb","4","NCORE","23","96.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"03/31/2024","AQS","020900034","1","2.1","ppb","3","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
